鹿／島／建／設㈱,赤穂尾崎トンネル工事,H15.05,H15.12
鹿／島／建／設㈱,内々環状西線連絡管路（仕上げ）工事,H15.06,H15.06
鹿／島／建／設㈱,山電姫路高架撤去工事,H15.08,H15.09
鹿／島／建／設㈱,山電姫路派遣社員,H15.11,H16.06
鹿／島／建／設㈱,山電姫路高尾線改良工事,H15.11,H16.06
鹿島建設㈱他JV,モノレール撤去工事,H15.04,H15.06
鹿島建設㈱他JV,山電姫路工事その②,H15.06,H16.05
鹿島建設㈱他JV,山電橋脚他工事,H15.08,H16.03
鹿島建設㈱他JV,赤穂尾崎トンネル工事①,H15.06,H17.03
鹿島建設㈱他JV,赤穂尾崎トンネル工事②,H15.06,H17.03
鹿島建設㈱他JV,赤穂尾崎トンネル工事③,H15.06,H17.03
鹿島建設㈱他JV,赤穂尾崎トンネル工事,H16.01,H16.03
鹿島建設㈱他JV,山電姫路高尾線改良工事②,H16.01,H16.06
成／臨／興／業㈱,荒川小学校緑地整備工事,H15.06,H15.06
成／臨／興／業㈱,区画6-12号線他築造その他工事,H15.06,H15.11
成／臨／興／業㈱,手柄山整備道路工事,H15.08,H15.11
成／臨／興／業㈱,下構地区（1工区）下水道工事,H15.12,H16.04
成／臨／興／業㈱,英賀保区画地区（その3）下水道工事,H16.02,H16.05
セイコウ建設㈱,手柄山中央公園整備工事,H15.08,H15.11
セイコウ建設㈱,A区28号線他工事,H15.07,H16.03
セイコウ建設㈱,手柄山中央公園整備（その4）及び（その5）工事,H15.11,H16.03
泰明土木建設㈲,岡南環境センター（1）,H15.06,H16.06
㈲嵯／峨／商／事,嵯峨商事解体工事,H15.07,H15.11
立／建／設㈱,②夢前川水系・水尾川低水護岸工事,H15.12,H16.03
日本信号（阪和電設㈱）,信号所通路工事,H16.01,H16.06
小林様,擁壁補修工事,H16.04,H16.05
日／南／建／設㈱,A区2号線他築造工事,H16.06,H16.09
姫路市,手柄104号線舗装改良工事,H16.02,H16.03
姫路市,船場公園他1公園入口改修工事,H16.02,H16.03
姫路市,手柄3号線舗装改良工事,H16.05,H16.06
姫路市都市整備公社,姫路市民プール施設改修工事,H16.05,H16.07
中播磨県民局,船場川線迂回道路整備工事,H15.09,H16.03
中播磨県民局,船場川線迂回道路整備工事①,H15.09,H16.03
,,,
鹿／島／建／設㈱,大手前地下駐車場補修工事,H16.03,H16.06
鹿／島／建／設㈱,山電姫路高尾線ポンプ室上屋工事,H16.05,H16.06
姫路市,水族館水槽及び梁補強工事,H15.06,H15.06
姫路市,水族館水槽補修工事,H15.12,H16.01
姫路市,姫路球場内野スタンド便所改修工事,H15.12,H16.03
姫路市,姫路球場通路改修工事,H16.02,H16.03
㈶姫路市都市整備公社,姫路市民プールの園内施設改修工事,H15.06,H15.07
㈶姫路市都市整備公社,駅東ビル地下砂撤去工事,H15.06,H15.07
㈱永／岡／組,県立網干高等学校運動場整備工事,H15.1,H16.03
和泉様,和泉邸外壁塗装塗替え他工事,H16.04,H16.05
カンキエスイーシー㈱,カンキエスイーシー㈱外壁改修他工事,H16.06,H16.06
