鹿／島／建／設㈱,西播変電所母線構成変更工事の内土木工事,H8.12,H9.7
鹿／島／建／設㈱,姫路高架東部2ＢＬ新設他②工事,H9.3,H10.3
鹿／島／建／設㈱,姫路高架東部2ＢＬ新設他2件工事,H9.3,H10.3
鹿／島／建／設㈱,姫路高架東部2ＢＬ新設他①工事その④,H9.5,H10.3
鹿／島／建／設㈱,兼田幹線（その1）配水管布設工事,H9.8,H10.2
鹿／島／建／設㈱,市川橋梁耐震補強工事,H10.1,H10.2
鹿島建設㈱他JV,関電山崎資材運搬路設置工事,H9.4,H9.8
鹿島建設㈱他JV,関西電力奥多々良木増設工事,H9.4,H9.9
鹿島建設㈱他JV,山崎開閉所新設工事の内土木工事,H9.4,H10.3
鹿島建設㈱他JV,多々良木常傭工事,H9.5,H10.2
鹿島建設㈱他JV,関電山崎開閉所新設工事,H9.6,H10.3
鹿島建設㈱他JV,多々良木上下連法面保護工事,H9.7,H9.9
鹿島建設㈱他JV,関西電力㈱山崎開閉所舗装工事,H9.12,H10.3
西　播　磨　水　道　企　業　団,配水管新設工事（菅原横尾第1工区）,H9.7,H10.3
西播磨水道企業団,菅原横尾(第1工区）配水管新設工事,H9.7,H10.3
家／島／建／設㈱,飾磨南幹線(第4工区）下水道工事②,H9.3,H9.7
㈱ゼ・ネ・テ・ッ・ク,姫路ＬＰＧターミナル造成工事,H9.3,H9.10
㈱荒／木／工／務／店,ＫＣＴ一宮新設工事,H9.4,H9.8
畑／崎／建／設㈱,飾磨幹線歩道改良(5工区）工事,H9.7,H10.6
森／谷／建／設㈱,石倉玉田線自歩道設置工事,H9.8,H10.3
中谷様,中谷邸敷地造成工事,H9.8,H9.9
越／智／建／材㈱,砂川砂防ダム（1・2期資材）,H9.9,H10.1
㈱寺／尾／組,第２国分寺準幹線（1工区）下水道推進工事,H9.9,H10.4
㈱山／根／建／設,砂川砂防ダム工事,H9.10,H9.11
㈱北／文／建／設,都市計画道路飾磨幹線歩道改良工事,H9.12,H10.3
北条様,擁壁工事②,H10.1,H10.1
田渕様,擁壁工事①,H10.1,H10.1
真田様,擁壁工事③,H10.1,H10.2
兵庫県,２号（国）道路改良工事,H9.10,H10.5
姫　　　　路　　　　市,手柄小学校通路舗装工事,H9.7,H9.8
姫路市,手柄山中央公園都市緑化植物園土木工事,H9.8,H10.3
相生市,竜泉分区準幹線第2工区下水管渠築造工事,H9.9,H10.3
相生市,竜泉分区準幹線5-2工区下水道推進工事,H9.9,H10.3
相生市,陸分区(第7工区）下水管渠築造工事,H9.7,H9.12
相生市菅原横尾土地区画整理組合,第2期工事,H9.5,H10.3
相生市菅原横尾土地区画整理組合,地区外整地工事,H9.4,H9.9
相生市菅原横尾土地区画整理組合,第1期整地工事②,H9.4,H9.9
相生菅原横尾土地区画整理組合,第2期整地工事,H9.5,H10.3
姫　路　土　木　事　務　所,砂川、砂防ダム工事①,H9.3,H9.11
姫路市中島南土地区画整理組合,区10-1号線（その1）築造及2号水路他嵩上工事,H9.8,H10.2
姫　路　緑　化　協　会,手柄山中央公園松枯木伐採②,H9.10,H9.11
姫　路　緑　化　協　会,手柄山温室植物園松枯木伐採委託,H9.10,H9.11
姫路市手柄山桜山整備事務所,手柄山中央公園松枯木伐採①,H9.10,H9.10
姫路市都市整備公社,手柄山遊園松枯木伐採工事,H9.10,H9.10
,,,
㈱増／／田,カーテンギャラリー山吹店新築工事,H9.7,H9.10
㈱増／／田,リボンカーテンギャラリー看板工事,H9.10,H9.10
香田様,フレイグランス田寺新築工事,H9.1,H9.7
香田様,フレイグランス田寺追加工事,H9.7,H9.9
泉様,泉邸新築工事,H9.1,H9.10
多／田／建／設㈱,ヴェルビュー姫路新築工事,H9.3,H10.4
㈱カンキエスイーシー,カンキエスイーシーシャッター補修工事,H9.7,H9.9
成／臨／興／業㈱,フレイグランス田寺新築工事の内雑工事,H9.9,H9.11
立／建／設㈱,揖保川浄化センター建設工事,H9.11,H10.2
㈱丸／／正,リボンカーテンギャラリー駐車場工事,H9.10,H9.10
㈲プーレまつもと,(有)プーレまつもと新築工事,H10.3,H10.5
姫路市,手柄山温室植物園レストハウス改修工事（Ⅱ期工事）,H9.7,H9.9
姫　路　市　都　市　整　備　公　社,中央地下駐車場補修工事,H9.7,H9.7
